Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,290785793012938","0,0336373240312891","0,794129560061461",0,0,0,"1,72869537787631","0,00404941415696362","6,55393997444572E-07","2,51836388244275E-05","0,00418206079476817","-5,61841736104462E-07","0,00651775316369979",0,0,0,0,0,0,package://CR10A_2/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://CR10A_2/meshes/base_link.STL,,0_plataforma-1;sBASE-01A-º¸½Ó-0311-1/s2204119500-01A-º¸½Ó-0311-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
1_link,"0,0101030523614197","1,01453190531897E-06","0,0984642609975221",0,0,0,"4,10332083338183","0,0183679987441499","-1,73293051130684E-07","0,000112646897841512","0,0200486432101845","7,22330705237499E-08","0,0140877685174107",0,0,0,0,0,0,package://CR10A_2/meshes/1_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://CR10A_2/meshes/1_link.STL,,s32joint-01A-º¸½Ó-0311-2,Origin_1_joint,Eje1,1_joint,revolute,"-0,29","0,033641","0,837",0,0,"-0,021802",base_link,0,0,-1,0,0,"-1,15","1,15",,,,,,,,
2_link,"0,244121089707563","4,09251443470038E-07","0,0965697345968748",0,0,0,"11,2445859877789","0,0339643708941649","-1,65930622957405E-07","9,40259741768579E-05","0,118636916797871","1,1830218217475E-07","0,11106738033107",0,0,0,0,0,0,package://CR10A_2/meshes/2_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://CR10A_2/meshes/2_link.STL,,s32joint-01A-º¸½Ó-0311-1;s00_CR6-10_UPPER-ARM_ASM-01A-º¸½Ó-0311-1/s00_C_ROBOT_25ARM_SKEL-01A-º¸½Ó-0311-1;s25joint-01A-º¸½Ó-0311-1,Origin_2_joint,Eje2,2_joint,revolute,"0,099097",0,"0,095","-1,5708","-1,57","-1,5708",1_link,0,0,-1,0,0,"-1,15","1,15",,,,,,,,
3_link,"0,270557491027765","0,000353159553549531","0,0376939094961107",0,0,0,"5,03712891265186","0,007761091795223","-0,00016116596936149","0,00240186228826323","0,123921489408742","1,93151865644578E-05","0,122208539368207",0,0,0,0,0,0,package://CR10A_2/meshes/3_link.STL,1,1,1,1,0,0,0,0,0,0,package://CR10A_2/meshes/3_link.STL,,s00_CR6-10_LOWER-ARM_ASM-01A-º¸½Ó-0311-1/s00_C_ROBOT_17ARM_SKEL-01A-º¸½Ó-0311-1;s17-joint-01A-º¸½Ó-0311-2,Origin_3_joint,Eje3,3_joint,revolute,"0,602",0,0,"3,1416","0,021802","-1,5716",2_link,"0,0218",0,"0,99976",0,0,"-1,15","1,15",,,,,,,,
4_link,"-0,00750070124706592","0,000855574672094628","0,0604134955253673",0,0,0,"1,15016551283085","0,00145543559451451","2,47003643733196E-05","8,25165307886607E-05","0,00282324817707806","-3,61455672829152E-06","0,0026414908780408",0,0,0,0,0,0,package://CR10A_2/meshes/4_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://CR10A_2/meshes/4_link.STL,,s17-joint-01A-º¸½Ó-0311-1,Origin_4_joint,Eje4,4_joint,revolute,"0,56749","0,0014746","-0,029378","3,1416",0,"3,1416",3_link,"0,021775","0,011631","0,9997",0,0,"-1,15","1,15",,,,,,,,
5_link,"-0,00656638821096855","-0,00217973818518218","-0,00729917920319567",0,0,0,"2,37557594377465","0,00426904473012085","0,000120199364203296","5,019661353195E-05","0,00613939735721636","8,3038170715719E-05","0,0048698793855615",0,0,0,0,0,0,package://CR10A_2/meshes/5_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://CR10A_2/meshes/5_link.STL,,s17-joint-01A-º¸½Ó-0311-1;s00_CR6-10_J6_ASM-01A-º¸½Ó-0311-1/s00_CR6-10_J6_SKEL-01A-º¸½Ó-0311-1,Origin_5_joint,Eje5,5_joint,revolute,"0,064413","-0,00034116","0,064518","1,5708",0,"1,5708",4_link,"-0,017581","-0,021569","0,99961",0,0,"-1,15","1,15",,,,,,,,
6_Link,"0,0004715941287739","0,00124058701395285","-0,0204873640947927",0,0,0,"0,204969540341213","0,000110677799570045","7,51651338393634E-08","-1,49640782096827E-06","0,000110457208958578","-5,75389955737758E-06","0,000204802508776206",0,0,0,0,0,0,package://CR10A_2/meshes/6_Link.STL,1,1,1,1,0,0,0,0,0,0,package://CR10A_2/meshes/6_Link.STL,,sIO0001_ASM-01A-º¸½Ó-0311-1/s2204119100-01A-º¸½Ó-0311-1;sIO0001_ASM-01A-º¸½Ó-0311-1/s2204119000-01A-º¸½Ó-0311-1,Origin_6_joint,Eje6,6_joint,continuous,"0,10718","-0,0078039","0,058739",0,"1,5708",0,5_link,"-0,016243","-0,060629","0,99803",0,0,0,0,,,,,,,,
