Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,122985978770505","0,00170462638094407","0,0433587448960147",0,0,0,"1,39504052645811","0,00199983279616353","-5,62345467617821E-07","-0,000171505475604186","0,00418198355186288","-8,28558113844637E-07","0,00499893510879797",0,0,0,0,0,0,package://urdf_2/meshes/base_link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://urdf_2/meshes/base_link.STL,,Base^Robot-Final-Ensamble(2)-1,Origin_global,Axis_brazo_joint,brazo_joint,revolute,0,0,0,0,0,0,base_link,0,0,1,0,0,"-2,94","2,94",,,,,,,,
brazo_link,"0,0753094506753342","-1,04709665431024E-05","0,173042945912701",0,0,0,"0,464728606139161","0,000184778705020802","2,98483848319851E-09","-8,98034695450042E-07","0,00150375762423027","-1,27623178759219E-08","0,00145708555193549",0,0,0,0,0,0,package://urdf_2/meshes/brazo_link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://urdf_2/meshes/brazo_link.STL,,brazo^Robot-Final-Ensamble(2)-1,Origin_brazo_joint,Axis_brazo_joint,brazo_joint,revolute,"0,2225",0,0,0,0,0,base_link,0,0,1,0,0,"-2,95","2,95",,,,,,,,
antebrazo_link,"0,120217132825741","0,00253204414843628","0,0138134925752733",0,0,0,"0,337833417763749","9,43467400260195E-05","-3,43784195903844E-06","-4,69808398753309E-05","0,00136135886292181","-1,7571811510851E-06","0,00135870464166609",0,0,0,0,0,0,package://urdf_2/meshes/antebrazo_link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://urdf_2/meshes/antebrazo_link.STL,,antebrazo^Robot-Final-Ensamble(2)-1,Origin_antebrazo_joint,Axis_antebrazo_joint,antebrazo_joint,revolute,"0,20188","-0,00036684","0,15187",0,0,0,brazo_link,0,0,1,0,0,"-2,94","2,94",,,,,,,,
efector_link,"-0,000199408254429434","3,01101120966581E-05","-0,0920126337195022",0,0,0,"0,0645715511467495","9,90251938365928E-05","1,0267039223115E-11","4,8234755973393E-07","9,44222116975048E-05","-1,02338899145191E-08","7,29772053845675E-06",0,0,0,0,0,0,package://urdf_2/meshes/efector_link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://urdf_2/meshes/efector_link.STL,,efector^Robot-Final-Ensamble(2)-1,Origin_efector_joint,Axis_efector_joint,efector_joint,prismatic,"0,20445","0,001","-0,13418","3,1416",0,0,antebrazo_link,0,0,1,0,0,"-0,2",0,,,,,,,,
